Current [A],Force [N],Flux Density [T]
1,0.60580411359,0.0286401921409
2,2.42321645434,0.0572803842816
3,5.45223702229,0.0859205764226
4,9.6928658174,0.114560768563
5,15.1451028397,0.143200960705
6,21.8089480892,0.171841152846
7,29.6844015656,0.200481344986
8,38.7714632698,0.229121537128
9,49.0701332004,0.257761729268
10,60.5804113591,0.28640192141
11,73.302297744,0.315042113549
12,87.2357923572,0.343682305692
13,102.380895196,0.372322497832
14,118.737606263,0.400962689972
15,136.305925557,0.429602882113
16,155.085853078,0.458243074254
17,175.077388828,0.486883266396
18,196.280532803,0.515523458536
19,218.695285006,0.544163650677
20,242.321645435,0.572803842817
21,267.159614091,0.601444034958
22,293.209190976,0.630084227099
23,320.470376089,0.658724419242
24,348.943169426,0.687364611381
25,378.627570993,0.716004803522
26,409.523580783,0.74464499566
27,441.631198804,0.773285187802
28,474.95042505,0.801925379943
29,509.481259528,0.830565572086
30,545.223702231,0.859205764228
31,582.177753156,0.887845956366
32,620.343412312,0.916486148507
33,659.720679697,0.945126340649
34,700.309555306,0.973766532789
35,742.110039145,1.00240672493
36,785.122131214,1.03104691707
37,829.345831503,1.05968710921
38,874.781140025,1.08832730136
39,921.428056767,1.11696749349
40,969.28658174,1.14560768563
41,1018.35671493,1.17424787777
42,1068.63845636,1.20288806991
43,1120.13180603,1.23152826206
44,1172.8367639,1.2601684542
45,1226.75333002,1.28880864634
46,1281.88150436,1.31744883849
47,1338.22128691,1.34608903062
48,1395.77267771,1.37472922276
49,1454.53567672,1.4033694149
50,1514.51028397,1.43200960704
51,1575.69649944,1.46064979919
52,1638.09432315,1.48928999133
53,1701.70375506,1.51793018346
54,1766.52479522,1.54657037561
55,1832.55744361,1.57521056775
56,1899.8017002,1.60385075988
57,1968.25756504,1.63249095203
58,2037.92503811,1.66113114417
59,2108.80411941,1.68977133631
60,2180.89480891,1.71841152845
61,2254.19710666,1.74705172059
62,2328.71101264,1.77569191274
63,2404.43652683,1.80433210488
64,2481.37364926,1.83297229702
