Magnet Thickness [m],Force [N],Flux Density [T]
0.001,234.302880082,0.581746136237
0.002,438.661620073,0.800017797952
0.003,568.690671697,0.914363990817
0.004,655.580255636,0.984702897339
0.005,716.873779602,1.03225971113
0.006,762.035500431,1.0664375411
0.007,796.480784054,1.09205017255
0.008,823.472353622,1.11183452816
0.009,845.095965677,1.12747298975
0.01,862.747503499,1.14006465232
0.011,877.347732351,1.150357274
